Channel1_Signal,Channel1_Noise,Channel2_Signal,Channel2_Noise,Notes
, Absolute time at min time: 08-Aug-2014 04:00:37," Point 4 Time: 7.376156 Frequency:  42.25 Hz, Directions: 123.39 degrees ", Absolute time at min time: 08-Aug-2014 04:01:17,
 Absolute time at min time: 08-Aug-2014 04:20:14," Point 1 Time: 0.576900 Frequency:  48.14 Hz, Directions: 343.00 degrees "," Point 5 Time: 9.577354 Frequency:  41.59 Hz, Directions: 133.18 degrees "," Point 1 Time: 0.821478 Frequency:  48.36 Hz, Directions: 127.13 degrees ",
" Point 1 Time: 4.172190 Frequency:  42.03 Hz, Directions:  98.77 degrees "," Point 2 Time: 1.114971 Frequency:  48.14 Hz, Directions: 316.97 degrees ",," Point 2 Time: 1.359548 Frequency:  48.36 Hz, Directions:  27.28 degrees ",
" Point 2 Time: 6.006522 Frequency:  42.47 Hz, Directions: 103.75 degrees "," Point 3 Time: 0.576900 Frequency:  42.47 Hz, Directions:  93.26 degrees ", Absolute time at min time: 08-Aug-2014 04:22:23," Point 3 Time: 0.821478 Frequency:  41.59 Hz, Directions:  36.41 degrees ",
" Point 3 Time: 8.109889 Frequency:  42.03 Hz, Directions: 110.50 degrees "," Point 4 Time: 1.041597 Frequency:  41.81 Hz, Directions: 165.65 degrees "," Point 1 Time: 1.775330 Frequency:  44.00 Hz, Directions:  54.51 degrees "," Point 4 Time: 1.457379 Frequency:  41.81 Hz, Directions:  24.17 degrees ",
," Point 5 Time: 0.601358 Frequency:  37.01 Hz, Directions:   9.25 degrees "," Point 2 Time: 3.414000 Frequency:  43.34 Hz, Directions:  80.51 degrees "," Point 5 Time: 0.870393 Frequency:  36.14 Hz, Directions:  59.50 degrees ",
 Absolute time at min time: 08-Aug-2014 04:21:16 ," Point 6 Time: 1.139428 Frequency:  37.01 Hz, Directions: 102.35 degrees "," Point 3 Time: 6.030979 Frequency:  42.90 Hz, Directions:  97.29 degrees "," Point 6 Time: 1.481837 Frequency:  36.14 Hz, Directions: 167.72 degrees ",
" Point 1 Time: 2.704725 Frequency:  42.90 Hz, Directions:  62.28 degrees ",,,,
" Point 2 Time: 4.465683 Frequency:  41.81 Hz, Directions:  68.85 degrees ", Absolute time at min time: 08-Aug-2014 04:01:04, Absolute time at min time: 08-Aug-2014 04:22:53, Absolute time at min time: 08-Aug-2014 04:01:43 ,
" Point 3 Time: 6.691339 Frequency:  42.03 Hz, Directions:  69.25 degrees "," Point 1 Time: 13.246017 Frequency:  46.40 Hz, Directions: 126.55 degrees "," Point 1 Time: 2.362316 Frequency:  42.90 Hz, Directions:  87.66 degrees "," Point 1 Time: 13.343848 Frequency:  47.93 Hz, Directions:  89.07 degrees ",
" Point 4 Time: 9.675185 Frequency:  41.59 Hz, Directions:  48.14 degrees "," Point 2 Time: 13.784088 Frequency:  46.40 Hz, Directions:  75.44 degrees "," Point 2 Time: 3.634119 Frequency:  42.69 Hz, Directions: 130.15 degrees "," Point 2 Time: 14.199870 Frequency:  47.93 Hz, Directions:  82.79 degrees ",
," Point 3 Time: 13.246017 Frequency:  41.16 Hz, Directions: 193.35 degrees "," Point 3 Time: 4.881465 Frequency:  42.69 Hz, Directions:  76.15 degrees "," Point 3 Time: 13.221559 Frequency:  40.72 Hz, Directions:  66.74 degrees ",
 Absolute time at min time: 08-Aug-2014 04:22:06," Point 4 Time: 13.881919 Frequency:  41.16 Hz, Directions: 348.63 degrees "," Point 4 Time: 6.397846 Frequency:  42.69 Hz, Directions: 102.31 degrees "," Point 4 Time: 14.248785 Frequency:  40.72 Hz, Directions:  92.94 degrees ",
" Point 1 Time: 1.432922 Frequency:  43.78 Hz, Directions: 121.17 degrees "," Point 5 Time: 13.319390 Frequency:  37.23 Hz, Directions:  53.81 degrees ",," Point 5 Time: 13.221559 Frequency:  36.57 Hz, Directions:  34.80 degrees ",
" Point 2 Time: 3.462915 Frequency:  43.56 Hz, Directions:  99.53 degrees "," Point 6 Time: 13.833003 Frequency:  37.23 Hz, Directions: 146.63 degrees ", Absolute time at min time: 08-Aug-2014 04:23:20," Point 6 Time: 14.053123 Frequency:  36.57 Hz, Directions:  85.57 degrees ",
" Point 3 Time: 5.541824 Frequency:  42.25 Hz, Directions: 118.33 degrees ",," Point 1 Time: 1.946534 Frequency:  42.25 Hz, Directions:  94.02 degrees ",,
" Point 4 Time: 7.229409 Frequency:  41.59 Hz, Directions: 131.03 degrees ", Absolute time at min time: 08-Aug-2014 04:01:17," Point 2 Time: 3.560746 Frequency:  42.03 Hz, Directions: 102.64 degrees ", Absolute time at min time: 08-Aug-2014 04:01:56,
" Point 5 Time: 8.941452 Frequency:  41.59 Hz, Directions: 102.33 degrees "," Point 1 Time: 0.527985 Frequency:  48.36 Hz, Directions:   9.22 degrees "," Point 3 Time: 5.223874 Frequency:  41.81 Hz, Directions:  92.91 degrees "," Point 1 Time: 0.797020 Frequency:  48.14 Hz, Directions:  50.69 degrees ",
," Point 2 Time: 1.359548 Frequency:  48.36 Hz, Directions: 163.21 degrees "," Point 4 Time: 6.764712 Frequency:  42.03 Hz, Directions: 124.41 degrees "," Point 2 Time: 1.432922 Frequency:  48.14 Hz, Directions: 242.41 degrees ",
 Absolute time at min time: 08-Aug-2014 04:22:22 ," Point 3 Time: 0.699189 Frequency:  42.47 Hz, Directions: 102.42 degrees ",," Point 3 Time: 0.821478 Frequency:  42.69 Hz, Directions: 104.85 degrees ",
" Point 1 Time: 2.093281 Frequency:  43.78 Hz, Directions:  83.55 degrees "," Point 4 Time: 1.359548 Frequency:  42.47 Hz, Directions: 131.03 degrees ", Absolute time at min time: 08-Aug-2014 04:23:48," Point 4 Time: 1.408464 Frequency:  42.25 Hz, Directions: 113.24 degrees ",
" Point 2 Time: 3.658577 Frequency:  42.69 Hz, Directions:  55.40 degrees "," Point 5 Time: 0.601358 Frequency:  37.01 Hz, Directions: 213.01 degrees "," Point 1 Time: 3.047133 Frequency:  42.47 Hz, Directions:  64.12 degrees "," Point 5 Time: 0.845935 Frequency:  37.45 Hz, Directions:  81.48 degrees ",
" Point 3 Time: 5.101585 Frequency:  42.25 Hz, Directions:  86.49 degrees "," Point 6 Time: 1.408464 Frequency:  37.45 Hz, Directions:  33.11 degrees "," Point 2 Time: 4.783634 Frequency:  40.94 Hz, Directions:  60.50 degrees "," Point 6 Time: 1.457379 Frequency:  37.23 Hz, Directions: 112.51 degrees ",
" Point 4 Time: 6.960374 Frequency:  41.81 Hz, Directions:  70.47 degrees ",," Point 3 Time: 7.204952 Frequency:  41.16 Hz, Directions:  74.34 degrees ",,
, Absolute time at min time: 08-Aug-2014 04:01:43,, Absolute time at min time: 08-Aug-2014 04:02:32,
 Absolute time at min time: 08-Aug-2014 04:22:54," Point 1 Time: 13.246017 Frequency:  48.58 Hz, Directions:  60.00 degrees ", Absolute time at min time: 08-Aug-2014 04:24:20," Point 1 Time: 13.197102 Frequency:  48.14 Hz, Directions: 236.18 degrees ",
" Point 1 Time: 2.264485 Frequency:  43.12 Hz, Directions: 115.38 degrees "," Point 2 Time: 13.759630 Frequency:  48.36 Hz, Directions:  44.49 degrees "," Point 1 Time: 3.634119 Frequency:  41.38 Hz, Directions: 140.90 degrees "," Point 2 Time: 14.053123 Frequency:  47.93 Hz, Directions:  46.15 degrees ",
" Point 2 Time: 4.881465 Frequency:  42.25 Hz, Directions:  94.79 degrees "," Point 3 Time: 13.246017 Frequency:  42.47 Hz, Directions:  73.97 degrees "," Point 2 Time: 4.930380 Frequency:  41.38 Hz, Directions: 143.44 degrees "," Point 3 Time: 13.343848 Frequency:  41.81 Hz, Directions:  81.52 degrees ",
" Point 3 Time: 6.789170 Frequency:  42.25 Hz, Directions: 120.46 degrees "," Point 4 Time: 13.930834 Frequency:  42.47 Hz, Directions:  51.29 degrees "," Point 3 Time: 6.642423 Frequency:  41.38 Hz, Directions: 103.99 degrees "," Point 4 Time: 14.273243 Frequency:  41.38 Hz, Directions:  83.05 degrees ",
," Point 5 Time: 13.270475 Frequency:  37.66 Hz, Directions:  43.32 degrees ",," Point 5 Time: 13.466137 Frequency:  36.14 Hz, Directions:  46.72 degrees ",
 Absolute time at min time: 08-Aug-2014 04:23:20," Point 6 Time: 13.735172 Frequency:  37.66 Hz, Directions:  33.48 degrees ", Absolute time at min time: 08-Aug-2014 04:24:41," Point 6 Time: 14.248785 Frequency:  36.35 Hz, Directions: 150.71 degrees ",
" Point 1 Time: 1.946534 Frequency:  42.90 Hz, Directions: 133.21 degrees ",," Point 1 Time: 2.606894 Frequency:  43.78 Hz, Directions: 128.21 degrees ",,
" Point 2 Time: 3.707493 Frequency:  42.47 Hz, Directions: 118.01 degrees ", Absolute time at min time: 08-Aug-2014 04:01:56," Point 2 Time: 4.245563 Frequency:  42.90 Hz, Directions: 121.66 degrees ", Absolute time at min time: 08-Aug-2014 04:02:45 ,
" Point 3 Time: 5.297247 Frequency:  41.59 Hz, Directions: 119.58 degrees "," Point 1 Time: 0.552442 Frequency:  48.14 Hz, Directions:  69.21 degrees "," Point 3 Time: 6.691339 Frequency:  41.59 Hz, Directions: 141.42 degrees "," Point 1 Time: 0.625816 Frequency:  47.93 Hz, Directions: 175.93 degrees ",
" Point 4 Time: 7.082663 Frequency:  41.16 Hz, Directions: 135.42 degrees "," Point 2 Time: 1.481837 Frequency:  48.14 Hz, Directions: 138.67 degrees "," Point 4 Time: 8.525670 Frequency:  41.59 Hz, Directions: 138.15 degrees "," Point 2 Time: 1.212802 Frequency:  48.14 Hz, Directions:  23.75 degrees ",
," Point 3 Time: 0.650273 Frequency:  42.03 Hz, Directions:  84.01 degrees ",," Point 3 Time: 0.625816 Frequency:  42.03 Hz, Directions:  76.83 degrees ",
 Absolute time at min time: 08-Aug-2014 04:23:48," Point 4 Time: 1.359548 Frequency:  42.03 Hz, Directions: 215.73 degrees ", Absolute time at min time: 08-Aug-2014 04:25:34," Point 4 Time: 1.335091 Frequency:  42.25 Hz, Directions:  36.34 degrees ",
" Point 1 Time: 2.606894 Frequency:  41.59 Hz, Directions:  63.39 degrees "," Point 5 Time: 0.650273 Frequency:  38.10 Hz, Directions:  61.13 degrees "," Point 1 Time: 3.316169 Frequency:  43.34 Hz, Directions: 119.14 degrees "," Point 5 Time: 0.699189 Frequency:  37.23 Hz, Directions:  11.55 degrees ",
" Point 2 Time: 4.416768 Frequency:  41.38 Hz, Directions:  99.39 degrees "," Point 6 Time: 1.261717 Frequency:  38.10 Hz, Directions:  45.55 degrees "," Point 2 Time: 4.832549 Frequency:  43.12 Hz, Directions: 154.34 degrees "," Point 6 Time: 1.432922 Frequency:  37.23 Hz, Directions:  77.48 degrees ",
" Point 3 Time: 6.838085 Frequency:  40.94 Hz, Directions:  79.05 degrees ",," Point 3 Time: 6.813628 Frequency:  43.34 Hz, Directions:  70.10 degrees ",,
, Absolute time at min time: 08-Aug-2014 04:02:32," Point 4 Time: 8.843621 Frequency:  42.25 Hz, Directions:  98.91 degrees ", Absolute time at min time: 08-Aug-2014 04:03:15,
 Absolute time at min time: 08-Aug-2014 04:24:19," Point 1 Time: 14.028665 Frequency:  47.05 Hz, Directions:  70.43 degrees ",," Point 1 Time: 16.034201 Frequency:  49.02 Hz, Directions:  80.37 degrees ",
" Point 1 Time: 4.025444 Frequency:  42.03 Hz, Directions: 102.57 degrees "," Point 2 Time: 14.909144 Frequency:  47.05 Hz, Directions:  34.85 degrees ", Absolute time at min time: 08-Aug-2014 04:25:50 ," Point 2 Time: 17.110342 Frequency:  48.80 Hz, Directions: 184.37 degrees ",
" Point 2 Time: 5.835317 Frequency:  42.03 Hz, Directions: 100.78 degrees "," Point 3 Time: 14.150954 Frequency:  40.50 Hz, Directions: 158.75 degrees "," Point 1 Time: 4.343394 Frequency:  40.72 Hz, Directions: 102.25 degrees "," Point 3 Time: 16.009743 Frequency:  40.72 Hz, Directions: 114.41 degrees ","weaker call, not seen well on azi"
" Point 3 Time: 7.278325 Frequency:  41.16 Hz, Directions:  88.58 degrees "," Point 4 Time: 15.006975 Frequency:  40.50 Hz, Directions: 159.36 degrees "," Point 2 Time: 5.468451 Frequency:  40.94 Hz, Directions: 101.38 degrees "," Point 4 Time: 16.939138 Frequency:  40.72 Hz, Directions:  83.55 degrees ",
" Point 4 Time: 9.259403 Frequency:  42.25 Hz, Directions:  87.41 degrees "," Point 5 Time: 14.004207 Frequency:  35.70 Hz, Directions:  24.61 degrees "," Point 3 Time: 8.476755 Frequency:  40.94 Hz, Directions: 149.24 degrees "," Point 5 Time: 16.278779 Frequency:  36.35 Hz, Directions:  37.63 degrees ",
," Point 6 Time: 14.860229 Frequency:  35.48 Hz, Directions:  66.30 degrees ",," Point 6 Time: 17.085885 Frequency:  36.35 Hz, Directions:  30.66 degrees ",
 Absolute time at min time: 08-Aug-2014 04:24:42,, Absolute time at min time: 08-Aug-2014 04:26:09,,
" Point 1 Time: 2.753640 Frequency:  42.03 Hz, Directions: 117.43 degrees ", Absolute time at min time: 08-Aug-2014 04:02:46," Point 1 Time: 3.560746 Frequency:  42.47 Hz, Directions: 143.03 degrees ", Absolute time at min time: 08-Aug-2014 04:03:31,"weaker call, not seen well on azi"
" Point 2 Time: 4.612430 Frequency:  42.03 Hz, Directions: 123.17 degrees "," Point 1 Time: 0.552442 Frequency:  48.58 Hz, Directions:  88.61 degrees "," Point 2 Time: 5.346162 Frequency:  43.12 Hz, Directions:  65.06 degrees "," Point 1 Time: 0.821478 Frequency:  48.14 Hz, Directions:  92.48 degrees ",
" Point 3 Time: 6.887001 Frequency:  41.59 Hz, Directions: 148.90 degrees "," Point 2 Time: 1.261717 Frequency:  48.58 Hz, Directions:  65.69 degrees "," Point 3 Time: 7.156036 Frequency:  42.47 Hz, Directions:  67.61 degrees "," Point 2 Time: 1.408464 Frequency:  48.14 Hz, Directions:  31.60 degrees ",
," Point 3 Time: 0.625816 Frequency:  41.81 Hz, Directions:  15.44 degrees ",," Point 3 Time: 0.797020 Frequency:  41.81 Hz, Directions:  25.41 degrees ",
 Absolute time at min time: 08-Aug-2014 04:25:34," Point 4 Time: 1.139428 Frequency:  41.81 Hz, Directions: 136.09 degrees ", Absolute time at min time: 08-Aug-2014 04:26:29," Point 4 Time: 1.579668 Frequency:  41.59 Hz, Directions: 180.49 degrees ",
" Point 1 Time: 1.677499 Frequency:  44.21 Hz, Directions: 118.69 degrees "," Point 5 Time: 0.625816 Frequency:  37.45 Hz, Directions:   5.05 degrees "," Point 1 Time: 3.927613 Frequency:  42.69 Hz, Directions: 162.99 degrees "," Point 5 Time: 0.894851 Frequency:  37.88 Hz, Directions:  61.14 degrees ",
" Point 2 Time: 3.609662 Frequency:  42.69 Hz, Directions: 151.39 degrees "," Point 6 Time: 1.139428 Frequency:  37.45 Hz, Directions:  89.82 degrees "," Point 2 Time: 5.517367 Frequency:  42.47 Hz, Directions:  79.11 degrees "," Point 6 Time: 1.432922 Frequency:  37.88 Hz, Directions: 202.13 degrees ",
" Point 3 Time: 5.052669 Frequency:  42.69 Hz, Directions: 145.40 degrees ",," Point 3 Time: 7.522902 Frequency:  42.47 Hz, Directions: 133.97 degrees ",,
" Point 4 Time: 6.911459 Frequency:  42.90 Hz, Directions: 117.87 degrees ", Absolute time at min time: 08-Aug-2014 04:03:15,, Absolute time at min time: 08-Aug-2014 04:04:04,
" Point 5 Time: 9.332776 Frequency:  42.03 Hz, Directions: 117.97 degrees "," Point 1 Time: 15.740708 Frequency:  48.36 Hz, Directions: 200.74 degrees ", Absolute time at min time: 08-Aug-2014 04:27:27 ," Point 1 Time: 11.582890 Frequency:  48.36 Hz, Directions:  39.54 degrees ",
," Point 2 Time: 16.523356 Frequency:  48.14 Hz, Directions: 355.35 degrees "," Point 1 Time: 1.824246 Frequency:  44.21 Hz, Directions: 128.59 degrees "," Point 2 Time: 12.145418 Frequency:  48.58 Hz, Directions:  95.71 degrees ",
 Absolute time at min time: 08-Aug-2014 04:25:48 ," Point 3 Time: 15.667335 Frequency:  41.38 Hz, Directions:  62.72 degrees "," Point 2 Time: 3.071591 Frequency:  43.78 Hz, Directions: 128.45 degrees "," Point 3 Time: 11.582890 Frequency:  42.47 Hz, Directions: 343.38 degrees ",
" Point 1 Time: 3.805324 Frequency:  42.47 Hz, Directions: 138.62 degrees "," Point 4 Time: 16.425525 Frequency:  41.38 Hz, Directions: 166.76 degrees "," Point 3 Time: 4.783634 Frequency:  43.12 Hz, Directions: 128.82 degrees "," Point 4 Time: 12.243249 Frequency:  42.47 Hz, Directions:  11.23 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 5.982064 Frequency:  42.03 Hz, Directions: 153.69 degrees "," Point 5 Time: 15.545046 Frequency:  37.01 Hz, Directions: 314.76 degrees ",," Point 5 Time: 11.460601 Frequency:  37.23 Hz, Directions:  56.70 degrees ",
" Point 3 Time: 8.281093 Frequency:  42.03 Hz, Directions: 124.50 degrees "," Point 6 Time: 16.303236 Frequency:  37.01 Hz, Directions: 292.60 degrees ", Absolute time at min time: 08-Aug-2014 04:27:54," Point 6 Time: 12.072045 Frequency:  37.23 Hz, Directions:  15.78 degrees ",
,," Point 1 Time: 3.242795 Frequency:  42.25 Hz, Directions:  38.64 degrees ",,"weaker call, not seen well on azi"
 Absolute time at min time: 08-Aug-2014 04:26:08, Absolute time at min time: 08-Aug-2014 04:03:30," Point 2 Time: 4.832549 Frequency:  42.25 Hz, Directions:  93.78 degrees ", Absolute time at min time: 08-Aug-2014 04:04:15,
" Point 1 Time: 3.585204 Frequency:  42.47 Hz, Directions:  83.06 degrees "," Point 1 Time: 0.772562 Frequency:  48.36 Hz, Directions:  94.47 degrees "," Point 3 Time: 6.446761 Frequency:  42.25 Hz, Directions: 109.45 degrees "," Point 1 Time: 2.827014 Frequency:  48.14 Hz, Directions:  42.19 degrees ",
" Point 2 Time: 5.419536 Frequency:  42.03 Hz, Directions:  80.56 degrees "," Point 2 Time: 1.555210 Frequency:  48.14 Hz, Directions: 112.54 degrees ",," Point 2 Time: 3.511831 Frequency:  48.58 Hz, Directions: 352.24 degrees ",
" Point 3 Time: 7.596276 Frequency:  42.03 Hz, Directions:  89.57 degrees "," Point 3 Time: 0.699189 Frequency:  42.69 Hz, Directions:  43.99 degrees ", Absolute time at min time: 08-Aug-2014 04:28:18," Point 3 Time: 2.680267 Frequency:  41.59 Hz, Directions: 126.78 degrees ","weaker call, not seen well on azi"
" Point 4 Time: 10.090967 Frequency:  41.59 Hz, Directions:  82.11 degrees "," Point 4 Time: 1.506295 Frequency:  42.03 Hz, Directions: 100.09 degrees "," Point 1 Time: 2.949302 Frequency:  40.72 Hz, Directions:  87.65 degrees "," Point 4 Time: 3.462915 Frequency:  41.59 Hz, Directions:  67.74 degrees ",
," Point 5 Time: 0.748104 Frequency:  37.66 Hz, Directions:  27.24 degrees "," Point 2 Time: 4.808092 Frequency:  40.72 Hz, Directions:  45.67 degrees "," Point 5 Time: 2.753640 Frequency:  36.14 Hz, Directions:  26.78 degrees ",
 Absolute time at min time: 08-Aug-2014 04:26:29," Point 6 Time: 1.604126 Frequency:  37.45 Hz, Directions: 171.98 degrees "," Point 3 Time: 6.984832 Frequency:  41.38 Hz, Directions:  92.31 degrees "," Point 6 Time: 3.365084 Frequency:  36.35 Hz, Directions:  69.14 degrees ",
" Point 1 Time: 2.729183 Frequency:  43.56 Hz, Directions:  82.46 degrees ",,,,
" Point 2 Time: 4.881465 Frequency:  44.21 Hz, Directions:  54.41 degrees ", Absolute time at min time: 08-Aug-2014 04:04:04, Absolute time at min time: 08-Aug-2014 04:28:51, Absolute time at min time: 08-Aug-2014 04:04:41,
" Point 3 Time: 7.302783 Frequency:  43.34 Hz, Directions:  53.37 degrees "," Point 1 Time: 11.093735 Frequency:  47.71 Hz, Directions:  33.11 degrees "," Point 1 Time: 3.218338 Frequency:  42.03 Hz, Directions:  29.18 degrees "," Point 1 Time: 16.401067 Frequency:  47.05 Hz, Directions: 304.51 degrees ","weaker call, not seen well on azi"
," Point 2 Time: 11.876383 Frequency:  47.49 Hz, Directions:  14.61 degrees "," Point 2 Time: 5.174958 Frequency:  42.03 Hz, Directions: 105.01 degrees "," Point 2 Time: 17.183716 Frequency:  47.05 Hz, Directions:  98.12 degrees ",
 Absolute time at min time: 08-Aug-2014 04:27:26," Point 3 Time: 11.142650 Frequency:  40.94 Hz, Directions:  24.22 degrees "," Point 3 Time: 6.764712 Frequency:  41.81 Hz, Directions: 145.47 degrees "," Point 3 Time: 16.523356 Frequency:  41.16 Hz, Directions:  95.71 degrees ",
" Point 1 Time: 1.555210 Frequency:  43.34 Hz, Directions: 138.30 degrees "," Point 4 Time: 11.876383 Frequency:  40.94 Hz, Directions: 121.17 degrees ",," Point 4 Time: 17.379378 Frequency:  40.72 Hz, Directions: 100.47 degrees ",
" Point 2 Time: 3.585204 Frequency:  43.34 Hz, Directions: 127.64 degrees "," Point 5 Time: 11.216023 Frequency:  36.79 Hz, Directions:  35.37 degrees ", Absolute time at min time: 08-Aug-2014 04:29:15 ," Point 5 Time: 16.474441 Frequency:  36.14 Hz, Directions:  37.84 degrees ",
" Point 3 Time: 5.517367 Frequency:  42.47 Hz, Directions: 133.41 degrees "," Point 6 Time: 12.072045 Frequency:  36.57 Hz, Directions: 193.87 degrees "," Point 1 Time: 2.484605 Frequency:  43.78 Hz, Directions: 136.99 degrees "," Point 6 Time: 17.306004 Frequency:  35.92 Hz, Directions:  54.43 degrees ",
" Point 4 Time: 7.278325 Frequency:  42.25 Hz, Directions: 125.63 degrees ",," Point 2 Time: 4.245563 Frequency:  43.56 Hz, Directions: 130.98 degrees ",,
" Point 5 Time: 9.137114 Frequency:  42.03 Hz, Directions: 131.89 degrees ", Absolute time at min time: 08-Aug-2014 04:04:15," Point 3 Time: 6.520135 Frequency:  42.47 Hz, Directions: 133.10 degrees ", Absolute time at min time: 08-Aug-2014 04:04:55,
" Point 6 Time: 10.677953 Frequency:  41.59 Hz, Directions: 114.92 degrees "," Point 1 Time: 0.919309 Frequency:  49.24 Hz, Directions:  12.73 degrees "," Point 4 Time: 8.232177 Frequency:  42.25 Hz, Directions: 122.93 degrees "," Point 1 Time: 0.699189 Frequency:  47.71 Hz, Directions:  66.75 degrees ",
," Point 2 Time: 1.701957 Frequency:  48.80 Hz, Directions: 148.24 degrees "," Point 5 Time: 9.577354 Frequency:  41.38 Hz, Directions: 109.74 degrees "," Point 2 Time: 1.139428 Frequency:  47.49 Hz, Directions: 301.57 degrees ",
 Absolute time at min time: 08-Aug-2014 04:27:54," Point 3 Time: 0.748104 Frequency:  42.90 Hz, Directions:  51.33 degrees "," Point 6 Time: 10.555664 Frequency:  41.38 Hz, Directions: 106.94 degrees "," Point 3 Time: 0.723647 Frequency:  42.90 Hz, Directions:  29.88 degrees ",
" Point 1 Time: 3.903155 Frequency:  44.43 Hz, Directions: 102.72 degrees "," Point 4 Time: 1.750872 Frequency:  43.34 Hz, Directions:  36.67 degrees ",," Point 4 Time: 1.261717 Frequency:  42.25 Hz, Directions:  70.26 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 6.397846 Frequency:  44.43 Hz, Directions: 105.26 degrees "," Point 5 Time: 0.845935 Frequency:  37.45 Hz, Directions: 171.26 degrees ", Absolute time at min time: 08-Aug-2014 04:29:56," Point 5 Time: 0.723647 Frequency:  37.45 Hz, Directions: 344.45 degrees ",
" Point 3 Time: 9.137114 Frequency:  44.43 Hz, Directions: 134.18 degrees "," Point 6 Time: 1.701957 Frequency:  37.45 Hz, Directions: 350.11 degrees "," Point 1 Time: 3.218338 Frequency:  42.03 Hz, Directions:  47.63 degrees "," Point 6 Time: 1.359548 Frequency:  37.45 Hz, Directions:  71.96 degrees ","weaker call, not seen well on azi"
,," Point 2 Time: 6.177726 Frequency:  42.03 Hz, Directions:  72.90 degrees ",,
 Absolute time at min time: 08-Aug-2014 04:28:18 , Absolute time at min time: 08-Aug-2014 04:04:39," Point 3 Time: 8.892537 Frequency:  41.59 Hz, Directions:  78.82 degrees ", Absolute time at min time: 08-Aug-2014 04:05:30,
" Point 1 Time: 1.873161 Frequency:  44.00 Hz, Directions: 111.46 degrees "," Point 1 Time: 15.006975 Frequency:  49.02 Hz, Directions:  90.31 degrees ",," Point 1 Time: 13.099271 Frequency:  47.93 Hz, Directions:  94.24 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 3.634119 Frequency:  42.90 Hz, Directions: 133.19 degrees "," Point 2 Time: 15.545046 Frequency:  49.02 Hz, Directions: 118.62 degrees ", Absolute time at min time: 08-Aug-2014 04:30:24," Point 2 Time: 13.930834 Frequency:  47.71 Hz, Directions:  30.14 degrees ",
" Point 3 Time: 5.346162 Frequency:  43.56 Hz, Directions: 118.25 degrees "," Point 3 Time: 14.762398 Frequency:  41.38 Hz, Directions:  34.74 degrees "," Point 1 Time: 1.799788 Frequency:  42.69 Hz, Directions:  84.11 degrees "," Point 3 Time: 13.148186 Frequency:  41.81 Hz, Directions:  50.36 degrees ",
," Point 4 Time: 15.520588 Frequency:  40.94 Hz, Directions: 102.28 degrees "," Point 2 Time: 4.490141 Frequency:  43.12 Hz, Directions:  95.53 degrees "," Point 4 Time: 13.979750 Frequency:  41.59 Hz, Directions:  69.20 degrees ",
 Absolute time at min time: 08-Aug-2014 04:28:50," Point 5 Time: 14.591194 Frequency:  37.01 Hz, Directions:  39.99 degrees "," Point 3 Time: 7.473987 Frequency:  42.03 Hz, Directions: 108.89 degrees "," Point 5 Time: 13.025897 Frequency:  36.57 Hz, Directions:  36.50 degrees ",
" Point 1 Time: 2.191112 Frequency:  42.47 Hz, Directions:  62.34 degrees "," Point 6 Time: 15.373842 Frequency:  37.01 Hz, Directions:  52.00 degrees ",," Point 6 Time: 13.955292 Frequency:  36.79 Hz, Directions: 346.74 degrees ","weaker call, not seen well on azi"
" Point 2 Time: 4.172190 Frequency:  42.25 Hz, Directions: 128.56 degrees ",, Absolute time at min time: 08-Aug-2014 04:31:09,,
" Point 3 Time: 6.666881 Frequency:  42.25 Hz, Directions:  97.46 degrees ", Absolute time at min time: 08-Aug-2014 04:04:53," Point 1 Time: 4.245563 Frequency:  43.78 Hz, Directions: 127.28 degrees ", Absolute time at min time: 08-Aug-2014 04:05:43,
," Point 1 Time: 0.576900 Frequency:  48.58 Hz, Directions: 340.64 degrees "," Point 2 Time: 6.324472 Frequency:  42.69 Hz, Directions: 115.36 degrees "," Point 1 Time: 1.481837 Frequency:  48.58 Hz, Directions:  77.05 degrees ",
 Absolute time at min time: 08-Aug-2014 04:29:14," Point 2 Time: 1.114971 Frequency:  48.14 Hz, Directions:  32.31 degrees "," Point 3 Time: 8.305551 Frequency:  42.47 Hz, Directions: 147.22 degrees "," Point 2 Time: 2.019908 Frequency:  48.14 Hz, Directions:  41.58 degrees ",
" Point 1 Time: 1.506295 Frequency:  43.56 Hz, Directions: 103.32 degrees "," Point 3 Time: 0.601358 Frequency:  41.81 Hz, Directions:   8.69 degrees "," Point 4 Time: 11.533974 Frequency:  41.59 Hz, Directions:  92.12 degrees "," Point 3 Time: 1.384006 Frequency:  42.03 Hz, Directions:  94.66 degrees ",
" Point 2 Time: 4.270021 Frequency:  43.12 Hz, Directions: 128.30 degrees "," Point 4 Time: 1.188344 Frequency:  41.81 Hz, Directions: 106.24 degrees ",," Point 4 Time: 1.970992 Frequency:  41.59 Hz, Directions:  52.02 degrees ",
" Point 3 Time: 6.691339 Frequency:  42.69 Hz, Directions: 145.95 degrees "," Point 5 Time: 0.650273 Frequency:  37.01 Hz, Directions:  42.29 degrees ", Absolute time at min time: 08-Aug-2014 04:31:59," Point 5 Time: 1.335091 Frequency:  37.66 Hz, Directions: 355.05 degrees ",
